w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.975783473e+02,1.190045122e+00,1.017043707e+00,2.571146425e-01,1.710069583e-02
2.033624085e+02,1.185906573e+00,1.016169644e+00,2.458929490e-01,1.621572865e-02
2.093157967e+02,1.181540796e+00,1.015341050e+00,2.350162241e-01,1.537931312e-02
2.154434690e+02,1.176979814e+00,1.014555544e+00,2.244872664e-01,1.458874954e-02
2.217505275e+02,1.172254410e+00,1.013810852e+00,2.143074419e-01,1.384148317e-02
2.282422238e+02,1.167393998e+00,1.013104796e+00,2.044767772e-01,1.313509679e-02
2.349239629e+02,1.162426505e+00,1.012435298e+00,1.949940583e-01,1.246730356e-02
2.418013085e+02,1.157378285e+00,1.011800370e+00,1.858569316e-01,1.183594023e-02
2.488799867e+02,1.152274060e+00,1.011198115e+00,1.770620065e-01,1.123896069e-02
2.561658917e+02,1.147136871e+00,1.010626723e+00,1.686049575e-01,1.067442979e-02
2.636650899e+02,1.141988068e+00,1.010084465e+00,1.604806252e-01,1.014051755e-02
2.713838254e+02,1.136847300e+00,1.009569693e+00,1.526831142e-01,9.635493537e-03
2.793285251e+02,1.131732536e+00,1.009080834e+00,1.452058882e-01,9.157721665e-03
2.875058041e+02,1.126660093e+00,1.008616388e+00,1.380418603e-01,8.705655139e-03
2.959224711e+02,1.121644676e+00,1.008174924e+00,1.311834789e-01,8.277831729e-03
3.045855341e+02,1.116699432e+00,1.007755078e+00,1.246228082e-01,7.872869270e-03
3.135022063e+02,1.111836014e+00,1.007355550e+00,1.183516036e-01,7.489461398e-03
3.226799120e+02,1.107064645e+00,1.006975100e+00,1.123613811e-01,7.126373522e-03
3.321262930e+02,1.102394192e+00,1.006612547e+00,1.066434810e-01,6.782439005e-03
3.418492146e+02,1.097832247e+00,1.006266765e+00,1.011891263e-01,6.456555563e-03
3.518567726e+02,1.093385199e+00,1.005936682e+00,9.598947438e-02,6.147681864e-03
3.621572995e+02,1.089058325e+00,1.005621278e+00,9.103566489e-02,5.854834325e-03
3.727593720e+02,1.084855860e+00,1.005319581e+00,8.631886054e-02,5.577084096e-03
